transactionId,timestamp,currency,amount,senderAccount,receiverAccount,transactionType,channel,status,ipAddress,location
TXN17646827112842725,2025-11-28 01:48:31,EUR,49366.71,AC29267453,AC52991752,PAYMENT,ATM,FAILED,198.72.50.27,Bangalore
TXN17646827113463842,2025-11-07 12:42:31,EUR,37223.64,AC59842923,AC10690864,DEPOSIT,CARD,FAILED,61.208.124.162,Mumbai
TXN17646827113463575,2025-11-13 16:27:31,USD,32015.23,AC92464116,AC82475606,TRANSFER,MOBILE,FAILED,188.255.109.117,Chennai
TXN17646827113461683,2025-11-30 12:40:31,USD,85694.89,AC93115688,AC51886368,DEPOSIT,CARD,FAILED,176.41.235.188,Delhi
TXN1764682711347501,2025-11-10 02:30:31,EUR,90095.3,AC15965580,AC35555963,TRANSFER,ATM,PENDING,71.132.35.20,Delhi
TXN17646827113475992,2025-11-14 15:36:31,INR,24015.57,AC92891323,AC38405168,TRANSFER,ATM,SUCCESS,244.181.106.29,Bangalore
TXN17646827113478271,2025-11-10 21:25:31,GBP,53903.36,AC24883917,AC41051548,TRANSFER,MOBILE,SUCCESS,120.252.220.173,Pune
TXN17646827113478191,2025-11-19 01:49:31,EUR,44346.28,AC98672889,AC98605117,PAYMENT,ATM,SUCCESS,71.10.140.87,Chennai
TXN17646827113472305,2025-11-04 06:53:31,GBP,89408.93,AC17806297,AC71628429,PAYMENT,NETBANKING,FAILED,18.206.45.251,Mumbai
TXN17646827113471094,2025-11-21 10:44:31,GBP,55277.99,AC99973159,AC21454044,DEPOSIT,ATM,SUCCESS,228.248.152.68,Chennai
TXN17646827113471514,2025-11-24 19:13:31,USD,36734.43,AC61258757,AC26653227,TRANSFER,NETBANKING,SUCCESS,103.2.237.104,Pune
TXN17646827113479394,2025-11-03 19:35:31,EUR,25472.44,AC81710494,AC81306636,TRANSFER,CARD,FAILED,25.21.228.49,Hyderabad
TXN17646827113474621,2025-11-16 10:20:31,EUR,19710.5,AC69269186,AC38416182,TRANSFER,ATM,PENDING,237.254.215.24,Mumbai
TXN17646827113474642,2025-11-15 22:30:31,GBP,70454.63,AC98995708,AC23957371,WITHDRAW,MOBILE,FAILED,165.108.140.189,Pune
TXN17646827113479635,2025-11-16 19:56:31,USD,22211.13,AC27884883,AC34990155,TRANSFER,CARD,FAILED,198.226.92.167,Delhi
TXN17646827113482961,2025-11-17 06:38:31,GBP,71666.63,AC47852074,AC27518643,DEPOSIT,CARD,SUCCESS,201.155.166.82,Chennai
TXN17646827113484738,2025-11-04 21:19:31,USD,21803.29,AC78035118,AC62523666,DEPOSIT,MOBILE,PENDING,110.178.90.5,Bangalore
TXN1764682711348243,2025-11-09 16:11:31,EUR,69894.22,AC21585647,AC71922412,DEPOSIT,NETBANKING,SUCCESS,57.103.228.240,Bangalore
TXN17646827113486660,2025-11-25 12:24:31,EUR,30083.01,AC61255348,AC48681925,DEPOSIT,CARD,SUCCESS,249.63.89.193,Hyderabad
TXN17646827113489017,2025-11-08 07:16:31,GBP,59735.46,AC65919933,AC14952479,PAYMENT,NETBANKING,FAILED,48.20.115.223,Delhi
TXN1764682711348438,2025-11-16 15:04:31,USD,332.88,AC12557382,AC88009016,PAYMENT,MOBILE,FAILED,175.103.242.228,Chennai
TXN17646827113482691,2025-12-02 05:45:31,GBP,54224.37,AC18252666,AC95357745,PAYMENT,ATM,PENDING,181.49.245.68,Pune
TXN17646827113488692,2025-11-25 02:47:31,INR,52482.73,AC62273288,AC91104373,DEPOSIT,NETBANKING,PENDING,86.4.20.40,Bangalore
TXN17646827113487958,2025-11-25 21:15:31,GBP,14572.23,AC61702532,AC27072478,DEPOSIT,NETBANKING,FAILED,97.170.32.221,Mumbai
TXN17646827113486788,2025-11-04 23:29:31,GBP,47879.81,AC71219127,AC35807848,WITHDRAW,CARD,PENDING,210.221.225.159,Hyderabad
TXN17646827113489635,2025-11-04 00:33:31,EUR,66538.93,AC81904251,AC46089328,WITHDRAW,CARD,SUCCESS,38.184.243.148,Pune
TXN17646827113487035,2025-11-30 04:19:31,EUR,78884.73,AC50474509,AC73211131,WITHDRAW,NETBANKING,FAILED,87.167.181.191,Bangalore
TXN17646827113482235,2025-11-27 00:24:31,USD,81483.52,AC56717000,AC86065773,PAYMENT,CARD,PENDING,174.148.112.148,Chennai
TXN17646827113487249,2025-11-17 05:57:31,EUR,52219.23,AC94277318,AC30330622,TRANSFER,MOBILE,FAILED,252.128.191.28,Hyderabad
TXN1764682711349242,2025-11-21 04:30:31,GBP,84582.97,AC69924288,AC92388974,WITHDRAW,CARD,SUCCESS,10.45.231.240,Mumbai
TXN17646827113497219,2025-11-07 04:14:31,EUR,89561.61,AC95309071,AC59422740,PAYMENT,ATM,SUCCESS,35.187.66.180,Delhi
TXN17646827113497939,2025-11-15 17:46:31,USD,73821.09,AC89177590,AC73469274,WITHDRAW,ATM,FAILED,195.76.21.130,Bangalore
TXN17646827113497529,2025-11-04 20:53:31,USD,87992.54,AC65771914,AC89910776,WITHDRAW,MOBILE,SUCCESS,43.40.186.158,Bangalore
TXN17646827113495306,2025-12-01 19:38:31,GBP,52596.37,AC53343014,AC44933639,PAYMENT,NETBANKING,FAILED,142.36.63.51,Chennai
TXN17646827113493442,2025-11-28 12:06:31,INR,66938.48,AC25527755,AC72243734,WITHDRAW,NETBANKING,PENDING,240.25.51.106,Chennai
TXN17646827113495306,2025-12-02 12:44:31,EUR,43511.7,AC85035334,AC16203132,TRANSFER,CARD,SUCCESS,173.0.52.231,Pune
TXN17646827113498265,2025-11-24 13:54:31,INR,13264.52,AC36730928,AC91375786,PAYMENT,NETBANKING,PENDING,83.110.236.131,Delhi
TXN17646827113498973,2025-11-12 19:50:31,EUR,42428.84,AC56044719,AC80496412,DEPOSIT,ATM,FAILED,186.214.222.52,Hyderabad
TXN17646827113491189,2025-11-24 19:25:31,EUR,2377.14,AC70845758,AC73361355,WITHDRAW,MOBILE,PENDING,213.3.155.172,Bangalore
TXN17646827113496642,2025-11-27 09:56:31,EUR,71092.22,AC14991044,AC70825801,DEPOSIT,NETBANKING,SUCCESS,17.106.171.208,Delhi
TXN17646827113507517,2025-11-23 13:26:31,USD,71090.16,AC21689755,AC50209887,TRANSFER,NETBANKING,SUCCESS,119.42.150.71,Chennai
TXN17646827113502025,2025-12-01 19:49:31,USD,4036.93,AC71542958,AC98862002,TRANSFER,NETBANKING,PENDING,8.63.208.139,Delhi
TXN17646827113505191,2025-11-20 12:05:31,USD,85739.66,AC12689616,AC64448420,PAYMENT,MOBILE,SUCCESS,243.166.39.125,Delhi
TXN17646827113504315,2025-11-18 07:20:31,EUR,60859.95,AC44143690,AC31493543,TRANSFER,NETBANKING,SUCCESS,147.60.173.215,Mumbai
TXN17646827113503423,2025-11-10 12:49:31,GBP,78521.86,AC46239660,AC58986256,WITHDRAW,MOBILE,SUCCESS,127.119.77.253,Pune
TXN17646827113505077,2025-11-20 07:58:31,USD,12615.73,AC73959051,AC99010391,PAYMENT,CARD,SUCCESS,78.62.182.107,Chennai
TXN17646827113503612,2025-11-24 10:05:31,INR,82624.07,AC61404988,AC90806379,TRANSFER,NETBANKING,PENDING,224.181.165.133,Mumbai
