transactionId,timestamp,amount,currency,transactionType,channel,senderAccount,receiverAccount,ip_address,location,velocity,failed_attempts,status,is_fraud
TXN100000,2025-12-24 21:46:07.790493,9297,EUR,PAYMENT,CARD,AC43115070,AC14752496,192.168.37.194,Bangalore,3,1,SUCCESS,0
TXN100001,2025-12-05 08:12:07.790493,10276,INR,WITHDRAW,NETBANKING,AC21592487,AC14259300,192.168.97.199,Bangalore,4,2,PENDING,1
TXN100002,2026-01-02 12:59:07.790493,1834,EUR,TRANSFER,MOBILE,AC81911703,AC98833292,192.168.114.229,Hyderabad,2,3,PENDING,1
TXN100003,2025-12-15 04:33:07.790493,158506,EUR,WITHDRAW,NETBANKING,AC21800474,AC35534941,192.168.192.207,Mumbai,6,4,PENDING,1
TXN100004,2025-12-16 15:53:07.790493,340,USD,PAYMENT,ATM,AC21687973,AC97371103,192.168.158.102,Bangalore,4,4,PENDING,1
TXN100005,2025-12-17 08:13:07.790493,53969,USD,WITHDRAW,NETBANKING,AC49066458,AC95644125,172.17.44.192,Bangalore,6,2,PENDING,1
TXN100006,2025-12-25 03:58:07.790493,2717,INR,TRANSFER,NETBANKING,AC62387913,AC52919418,192.168.72.74,Hyderabad,1,2,PENDING,1
TXN100007,2026-01-03 03:51:07.790493,65315,EUR,PAYMENT,ATM,AC24122740,AC62132416,192.168.150.132,Mumbai,0,1,PENDING,1
TXN100008,2025-12-10 23:54:07.790493,15858,USD,TRANSFER,MOBILE,AC78155091,AC50226120,192.168.28.3,Hyderabad,2,1,SUCCESS,0
TXN100009,2025-12-17 11:56:07.790493,4968,USD,PAYMENT,MOBILE,AC45057510,AC56002989,192.168.38.32,Hyderabad,4,2,PENDING,1
TXN100010,2025-12-30 16:07:07.790493,4287,INR,TRANSFER,ATM,AC28167301,AC38336573,192.168.248.148,Delhi,0,4,PENDING,1
TXN100011,2026-01-02 05:23:07.790493,11557,INR,TRANSFER,MOBILE,AC73347685,AC53873009,192.168.114.80,Delhi,6,2,PENDING,1
TXN100012,2025-12-24 19:08:07.790493,9086,INR,PAYMENT,MOBILE,AC51110080,AC81255014,192.168.147.28,Bangalore,4,2,PENDING,1
TXN100013,2025-12-19 09:40:07.790493,895,INR,TRANSFER,ATM,AC87097803,AC46257607,192.168.199.171,Mumbai,6,1,PENDING,1
TXN100014,2025-12-18 06:20:07.790493,13455,EUR,WITHDRAW,CARD,AC69976943,AC85070639,192.168.144.123,Mumbai,2,3,PENDING,1
TXN100015,2025-12-17 16:14:07.790493,842,EUR,TRANSFER,ATM,AC13741208,AC69289254,172.26.124.83,Mumbai,6,3,PENDING,1
